"orig.ident","nCount_RNA","nFeature_RNA","main_cell_type.pred","main_cell_type.pred_prob","UMAP1","UMAP2","celltype.pred.combined","Monocyte.pred","Monocyte.pred_prob","Monocyte.UMAP1","Monocyte.UMAP2","T cell.pred","T cell.pred_prob","T cell.UMAP1","T cell.UMAP2"
"Pan",4595,1763,"Monocyte",1,NA,NA,"CD14 monocyte","CD14 monocyte",1,NA,NA,NA,NA,NA,NA
"Pan",5736,1994,"Monocyte",1,NA,NA,"CD14 monocyte","CD14 monocyte",1,NA,NA,NA,NA,NA,NA
"Pan",7048,2410,"Monocyte",1,NA,NA,"CD14 monocyte","CD14 monocyte",1,NA,NA,NA,NA,NA,NA
"Pan",6211,2067,"Monocyte",1,NA,NA,"CD14 monocyte","CD14 monocyte",1,NA,NA,NA,NA,NA,NA
"Pan",1623,702,"Monocyte",1,NA,NA,"CD14 monocyte","CD14 monocyte",1,NA,NA,NA,NA,NA,NA
"Pan",1930,930,"Monocyte",1,NA,NA,"CD14 monocyte","CD14 monocyte",1,NA,NA,NA,NA,NA,NA
"Pan",1369,735,"Monocyte",1,NA,NA,"CD14 monocyte","CD14 monocyte",1,NA,NA,NA,NA,NA,NA
"Pan",1701,804,"Monocyte",1,NA,NA,"CD14 monocyte","CD14 monocyte",1,NA,NA,NA,NA,NA,NA
"Pan",8872,2814,"Monocyte",1,NA,NA,"CD14 monocyte","CD14 monocyte",1,NA,NA,NA,NA,NA,NA
"Pan",10591,3173,"Monocyte",1,NA,NA,"CD14 monocyte","CD14 monocyte",1,NA,NA,NA,NA,NA,NA
"Pan",4320,1637,"Monocyte",1,NA,NA,"CD14 monocyte","CD14 monocyte",1,NA,NA,NA,NA,NA,NA
"Pan",1117,632,"Monocyte",1,NA,NA,"CD14 monocyte","CD14 monocyte",1,NA,NA,NA,NA,NA,NA
"Pan",2239,917,"Monocyte",1,NA,NA,"CD14 monocyte","CD14 monocyte",1,NA,NA,NA,NA,NA,NA
"Pan",5766,2076,"Monocyte",1,NA,NA,"CD14 monocyte","CD14 monocyte",1,NA,NA,NA,NA,NA,NA
"Pan",9056,2820,"Monocyte",1,NA,NA,"CD14 monocyte","CD14 monocyte",1,NA,NA,NA,NA,NA,NA
"Pan",4628,1537,"Monocyte",1,NA,NA,"CD14 monocyte","CD14 monocyte",1,NA,NA,NA,NA,NA,NA
"Pan",1260,639,"Monocyte",1,NA,NA,"CD14 monocyte","CD14 monocyte",1,NA,NA,NA,NA,NA,NA
"Pan",6464,2218,"Monocyte",1,NA,NA,"CD14 monocyte","CD14 monocyte",1,NA,NA,NA,NA,NA,NA
"Pan",3971,1647,"Monocyte",1,NA,NA,"CD14 monocyte","CD14 monocyte",1,NA,NA,NA,NA,NA,NA
"Pan",4578,1705,"Monocyte",1,NA,NA,"CD14 monocyte","CD14 monocyte",1,NA,NA,NA,NA,NA,NA
"Pan",2928,1391,"Monocyte",1,NA,NA,"CD14 monocyte","CD14 monocyte",1,NA,NA,NA,NA,NA,NA
"Pan",15938,3534,"Monocyte",1,NA,NA,"CD14 monocyte","CD14 monocyte",1,NA,NA,NA,NA,NA,NA
"Pan",3731,1075,"Monocyte",1,NA,NA,"CD14 monocyte","CD14 monocyte",1,NA,NA,NA,NA,NA,NA
"Pan",8552,2562,"Monocyte",1,NA,NA,"CD14 monocyte","CD14 monocyte",1,NA,NA,NA,NA,NA,NA
"Pan",3839,1545,"Monocyte",1,NA,NA,"CD14 monocyte","CD14 monocyte",1,NA,NA,NA,NA,NA,NA
"Pan",6170,2410,"Monocyte",1,NA,NA,"CD14 monocyte","CD14 monocyte",1,NA,NA,NA,NA,NA,NA
"Pan",5312,2073,"Monocyte",1,NA,NA,"CD14 monocyte","CD14 monocyte",1,NA,NA,NA,NA,NA,NA
"Pan",2346,958,"Monocyte",1,NA,NA,"CD14 monocyte","CD14 monocyte",1,NA,NA,NA,NA,NA,NA
